ImageId,Label
1,1
2,7
3,6
4,9
5,2
6,7
7,8
8,1
9,4
10,2
11,8
12,1
13,5
14,3
15,2
16,5
17,9
18,0
19,3
20,5
21,6
22,0
23,4
24,6
25,5
26,8
27,3
28,5
29,2
30,5
31,2
32,5
33,0
34,0
35,5
36,4
37,0
38,7
39,1
40,2
41,9
42,4
43,3
44,2
45,1
46,4
47,0
48,0
49,9
50,8
51,5
52,0
53,1
54,6
55,5
56,8
57,5
58,9
59,4
60,3
61,9
62,0
63,4
64,0
65,1
66,7
67,5
68,0
69,1
70,3
71,5
72,2
73,0
74,1
75,2
76,0
77,1
78,7
79,9
80,9
81,8
82,7
83,7
84,7
85,5
86,0
87,7
88,9
89,1
90,5
91,4
92,1
93,9
94,0
95,4
96,7
97,2
98,1
99,9
100,7
101,5
102,2
103,1
104,6
105,0
106,4
107,8
108,9
109,3
110,1
111,9
112,4
113,0
114,6
115,8
116,9
117,6
118,9
119,0
120,2
121,9
122,9
123,2
124,6
125,7
126,7
127,8
128,5
129,5
130,8
131,7
132,8
133,2
134,7
135,7
136,8
137,6
138,7
139,2
140,9
141,4
142,3
143,1
144,4
145,9
146,6
147,8
148,9
149,2
150,1
151,5
152,1
153,6
154,3
155,2
156,5
157,9
158,6
159,4
160,2
161,3
162,5
163,4
164,7
165,7
166,4
167,2
168,8
169,9
170,9
171,1
172,8
173,4
174,9
175,4
176,0
177,5
178,6
179,5
180,4
181,3
182,4
183,0
184,3
185,6
186,2
187,4
188,1
189,5
190,0
191,6
192,6
193,4
194,0
195,8
196,4
197,5
198,4
199,7
200,2
201,7
202,2
203,3
204,6
205,0
206,4
207,2
208,3
209,0
210,9
211,9
212,1
213,7
214,2
215,1
216,4
217,6
218,1
219,9
220,8
221,2
222,6
223,9
224,2
225,0
226,7
227,0
228,0
229,2
230,0
231,1
232,4
233,5
234,1
235,4
236,1
237,5
238,6
239,3
240,2
241,1
242,8
243,1
244,1
245,1
246,5
247,3
248,0
249,4
250,9
251,1
252,1
253,2
254,7
255,7
256,3
257,1
258,4
259,6
260,2
261,8
262,6
263,7
264,1
265,5
266,6
267,0
268,0
269,1
270,3
271,4
272,7
273,1
274,7
275,2
276,6
277,9
278,9
279,7
280,8
281,1
282,1
283,4
284,9
285,5
286,6
287,4
288,6
289,2
290,8
291,7
292,7
293,4
294,9
295,3
296,4
297,1
298,3
299,6
300,0
301,3
302,7
303,2
304,7
305,7
306,2
307,7
308,7
309,7
310,4
311,1
312,2
313,2
314,7
315,4
316,2
317,7
318,1
319,5
320,7
321,8
322,1
323,1
324,3
325,1
326,7
327,5
328,5
329,7
330,7
331,8
332,1
333,6
334,4
335,3
336,1
337,3
338,2
339,6
340,2
341,5
342,0
343,9
344,0
345,3
346,6
347,0
348,5
349,0
350,1
351,4
352,0
353,5
354,5
355,2
356,2
357,1
358,1
359,7
360,2
361,2
362,6
363,9
364,4
365,1
366,7
367,1
368,7
369,0
370,3
371,8
372,3
373,6
374,9
375,3
376,2
377,0
378,0
379,9
380,5
381,3
382,0
383,4
384,8
385,7
386,3
387,0
388,7
389,7
390,0
391,9
392,6
393,0
394,0
395,0
396,8
397,6
398,0
399,0
400,4
401,3
402,0
403,3
404,0
405,9
406,6
407,4
408,2
409,1
410,4
411,1
412,4
413,0
414,4
415,4
416,3
417,9
418,0
419,6
420,5
421,5
422,3
423,5
424,9
425,5
426,3
427,5
428,9
429,9
430,9
431,6
432,3
433,9
434,3
435,2
436,9
437,9
438,6
439,1
440,4
441,7
442,7
443,9
444,7
445,5
446,9
447,7
448,7
449,3
450,3
451,4
452,8
453,0
454,0
455,2
456,0
457,3
458,2
459,2
460,6
461,3
462,1
463,2
464,2
465,1
466,3
467,9
468,9
469,8
470,9
471,9
472,5
473,7
474,9
475,6
476,8
477,7
478,7
479,9
480,7
481,1
482,9
483,6
484,5
485,5
486,5
487,1
488,1
489,7
490,8
491,8
492,6
493,5
494,7
495,9
496,8
497,6
498,7
499,9
500,9
501,5
502,6
503,6
504,0
505,3
506,1
507,5
508,2
509,1
510,2
511,0
512,1
513,6
514,1
515,6
516,8
517,9
518,5
519,6
520,1
521,0
522,2
523,9
524,0
525,0
526,7
527,3
528,3
529,2
530,4
531,0
532,6
533,4
534,9
535,4
536,3
537,1
538,0
539,1
540,3
541,4
542,3
543,0
544,8
545,1
546,3
547,1
548,3
549,1
550,7
551,3
552,0
553,2
554,7
555,6
556,1
557,8
558,6
559,3
560,6
561,1
562,5
563,0
564,7
565,6
566,2
567,9
568,5
569,5
570,1
571,7
572,3
573,6
574,5
575,5
576,0
577,6
578,3
579,7
580,2
581,1
582,0
583,2
584,2
585,6
586,5
587,7
588,9
589,5
590,4
591,6
592,1
593,7
594,7
595,1
596,0
597,6
598,4
599,4
600,6
601,7
602,0
603,0
604,3
605,0
606,9
607,7
608,1
609,1
610,3
611,2
612,6
613,0
614,6
615,7
616,1
617,6
618,1
619,7
620,4
621,2
622,2
623,1
624,3
625,6
626,6
627,3
628,4
629,9
630,9
631,2
632,1
633,4
634,4
635,7
636,1
637,5
638,9
639,0
640,0
641,6
642,6
643,3
644,6
645,7
646,7
647,1
648,1
649,8
650,1
651,5
652,8
653,1
654,4
655,4
656,2
657,4
658,6
659,9
660,3
661,1
662,4
663,1
664,0
665,7
666,5
667,8
668,4
669,2
670,7
671,9
672,3
673,7
674,1
675,5
676,2
677,4
678,0
679,3
680,1
681,0
682,8
683,5
684,4
685,7
686,4
687,2
688,4
689,5
690,4
691,2
692,5
693,0
694,2
695,8
696,0
697,6
698,5
699,3
700,0
701,6
702,8
703,4
704,8
705,5
706,4
707,3
708,3
709,3
710,3
711,4
712,9
713,9
714,3
715,1
716,2
717,5
718,4
719,3
720,9
721,9
722,1
723,3
724,8
725,4
726,9
727,5
728,9
729,7
730,9
731,6
732,2
733,3
734,1
735,0
736,2
737,3
738,0
739,4
740,7
741,0
742,9
743,7
744,5
745,1
746,1
747,7
748,8
749,2
750,1
751,2
752,7
753,3
754,1
755,4
756,7
757,0
758,6
759,7
760,9
761,9
762,4
763,0
764,6
765,3
766,9
767,9
768,8
769,9
770,7
771,8
772,2
773,4
774,1
775,8
776,0
777,4
778,0
779,9
780,3
781,2
782,9
783,8
784,2
785,7
786,7
787,8
788,0
789,5
790,7
791,1
792,5
793,8
794,1
795,5
796,1
797,6
798,4
799,4
800,5
801,3
802,3
803,3
804,9
805,7
806,8
807,7
808,1
809,7
810,4
811,3
812,6
813,1
814,9
815,4
816,7
817,4
818,9
819,6
820,0
821,7
822,6
823,7
824,5
825,8
826,3
827,7
828,9
829,4
830,1
831,1
832,5
833,8
834,8
835,7
836,4
837,6
838,8
839,9
840,8
841,3
842,4
843,7
844,4
845,2
846,5
847,0
848,8
849,7
850,7
851,0
852,4
853,2
854,3
855,4
856,0
857,7
858,1
859,7
860,1
861,6
862,0
863,1
